active,area,configid,lat,long,meter number,sub area,zone
0,Route 01,979,39.964092,-83.00232,WQ57,Elm St W,"Columbus, OH Default Zone"
0,Route 01,979,39.96411,-83.002914,NI119,Front St N,"Columbus, OH Default Zone"
1,Route 01,1675,39.96776,-83.001076,EV12,Chestnut St E,"Columbus, OH Default Zone"
1,Route 01,1675,39.965168,-82.99992,ER26,Long St E,"Columbus, OH Default Zone"
1,Route 01,979,39.963676,-83.00283,NI107,Front St N,"Columbus, OH Default Zone"
1,Route 01,1675,39.962666,-83.00442,NG13,Marconi Blvd,"Columbus, OH Default Zone"
1,Route 01,979,39.96468,-83.00415,WR154,Long St W,"Columbus, OH Default Zone"
1,Route 01,979,39.964947,-83.00181,WR8,Long St W,"Columbus, OH Default Zone"
1,Route 01,1675,39.967728,-82.99995,EV61,Chestnut St E,"Columbus, OH Default Zone"
0,Route 01,9214,39.965843,-83.00304,NI100,Front St N,"Columbus, OH Default Zone"
1,Route 01,979,39.96453,-83.003,NI151,Front St N,"Columbus, OH Default Zone"
1,Route 01,979,39.964973,-83.00161,WR4,Long St W,"Columbus, OH Default Zone"
0,Route 01,982,39.96347,-83.00436,NG52,Marconi Blvd,"Columbus, OH Default Zone"
0,Route 01,983,39.965206,-83.00292,NI208,Front St N,"Columbus, OH Default Zone"
1,Route 01,1675,39.96792,-82.999695,EV72,Chestnut St E,"Columbus, OH Default Zone"
1,Route 01,979,39.963676,-83.00283,NI103,Front St N,"Columbus, OH Default Zone"
0,Route 01,979,39.96428,-83.002945,NI123,Front St N,"Columbus, OH Default Zone"
1,Route 01,979,39.96565,-83.00299,NI252,Front St N,"Columbus, OH Default Zone"
1,Route 01,1675,39.965,-83.0,ER29,Long St E,"Columbus, OH Default Zone"
1,Route 01,979,39.96488,-83.00241,WR30,Long St W,"Columbus, OH Default Zone"
0,Route 01,1675,39.964897,-83.00086,ER1,Long St E,"Columbus, OH Default Zone"
1,Route 01,979,39.965843,-83.00304,NI258,Front St N,"Columbus, OH Default Zone"
1,Route 01,979,39.964855,-83.00265,WR151,Long St W,"Columbus, OH Default Zone"
1,Route 01,1675,39.965286,-82.99889,ER54,Long St E,"Columbus, OH Default Zone"
1,Route 01,979,39.96469,-83.00408,WR152,Long St W,"Columbus, OH Default Zone"
1,Route 01,979,39.964855,-83.00265,WR153,Long St W,"Columbus, OH Default Zone"
0,Route 01,979,39.96412,-83.002106,WQ51,Elm St W,"Columbus, OH Default Zone"
1,Route 01,1675,39.965187,-82.9997,ER32,Long St E,"Columbus, OH Default Zone"
1,Route 01,979,39.964855,-83.00265,WR155,Long St W,"Columbus, OH Default Zone"
0,Route 01,979,39.964214,-83.00294,NI121,Front St N,"Columbus, OH Default Zone"
0,Route 01,9214,39.965843,-83.00304,NI104,Front St N,"Columbus, OH Default Zone"
1,Route 01,979,39.96463,-83.003235,WR109,Long St W,"Columbus, OH Default Zone"
